Distance,Gender,Category,TimeFrom,TimeTo,Points
5,Male,Junior,00:00:00,00:19:07,10
5,Male,Junior,00:19:08,00:20:22,9
5,Male,Junior,00:20:23,00:21:45,8
5,Male,Junior,00:21:46,00:23:23,7
5,Male,Junior,00:23:24,00:25:13,6
5,Male,Junior,00:25:14,00:27:22,5
5,Male,Junior,00:27:23,00:30:00,4
5,Male,Junior,00:30:01,00:33:15,3
5,Male,Junior,00:33:16,00:37:07,2
5,Male,Junior,00:37:08,Finisher,1
5,Male,Senior,00:00:00,00:19:07,10
5,Male,Senior,00:19:08,00:20:22,9
5,Male,Senior,00:20:23,00:21:45,8
5,Male,Senior,00:21:46,00:23:23,7
5,Male,Senior,00:23:24,00:25:13,6
5,Male,Senior,00:25:14,00:27:22,5
5,Male,Senior,00:27:23,00:30:00,4
5,Male,Senior,00:30:01,00:33:15,3
5,Male,Senior,00:33:16,00:37:07,2
5,Male,Senior,00:37:08,Finisher,1
5,Male,Veteran,00:00:00,00:19:45,10
5,Male,Veteran,00:19:46,00:21:08,9
5,Male,Veteran,00:21:09,00:22:30,8
5,Male,Veteran,00:22:31,00:24:15,7
5,Male,Veteran,00:24:16,00:26:08,6
5,Male,Veteran,00:26:09,00:28:22,5
5,Male,Veteran,00:28:23,00:31:08,4
5,Male,Veteran,00:31:09,00:34:22,3
5,Male,Veteran,00:34:23,00:38:30,2
5,Male,Veteran,00:38:31,Finisher,1
5,Male,Master,00:00:00,00:21:30,10
5,Male,Master,00:21:31,00:22:52,9
5,Male,Master,00:22:53,00:24:22,8
5,Male,Master,00:24:23,00:26:15,7
5,Male,Master,00:26:16,00:28:22,6
5,Male,Master,00:28:23,00:30:52,5
5,Male,Master,00:30:53,00:33:45,4
5,Male,Master,00:33:46,00:37:22,3
5,Male,Master,00:37:23,00:41:45,2
5,Male,Master,00:41:46,Finisher,1
5,Male,Grand Master,00:00:00,00:23:23,10
5,Male,Grand Master,00:23:24,00:25:00,9
5,Male,Grand Master,00:25:01,00:26:37,8
5,Male,Grand Master,00:26:38,00:28:38,7
5,Male,Grand Master,00:28:39,00:31:00,6
5,Male,Grand Master,00:31:01,00:33:37,5
5,Male,Grand Master,00:33:38,00:36:53,4
5,Male,Grand Master,00:36:53,00:40:45,3
5,Male,Grand Master,00:40:46,00:45:30,2
5,Male,Grand Master,00:45:31,Finisher,1
5,Male,Great Grand Master,00:00:00,00:25:53,10
5,Male,Great Grand Master,00:25:54,00:27:30,9
5,Male,Great Grand Master,00:27:31,00:29:22,8
5,Male,Great Grand Master,00:29:23,00:31:38,7
5,Male,Great Grand Master,00:31:39,00:34:07,6
5,Male,Great Grand Master,00:34:08,00:37:07,5
5,Male,Great Grand Master,00:37:08,00:40:37,4
5,Male,Great Grand Master,00:40:38,00:44:52,3
5,Male,Great Grand Master,00:44:53,00:50:15,2
5,Male,Great Grand Master,00:50:16,Finisher,1
5,Male,Great Grand Master,00:00:00,00:30:37,10
5,Male,Great Grand Master,00:30:38,00:32:37,9
5,Male,Great Grand Master,00:32:38,00:34:53,8
5,Male,Great Grand Master,00:34:53,00:37:30,7
5,Male,Great Grand Master,00:37:31,00:40:30,6
5,Male,Great Grand Master,00:40:31,00:44:00,5
5,Male,Great Grand Master,00:44:01,00:48:15,4
5,Male,Great Grand Master,00:48:16,00:53:15,3
5,Male,Great Grand Master,00:53:16,00:59:37,2
5,Male,Great Grand Master,00:59:38,Finisher,1
10,Male,Junior,00:00:00,00:38:15,10
10,Male,Junior,00:38:16,00:40:45,9
10,Male,Junior,00:40:46,00:43:30,8
10,Male,Junior,00:43:31,00:46:45,7
10,Male,Junior,00:46:46,00:50:25,6
10,Male,Junior,00:50:26,00:54:45,5
10,Male,Junior,00:54:46,01:00:00,4
10,Male,Junior,01:00:01,01:06:30,3
