Distance,Gender,Catergory,TimeFrom,TimeTo,Points
5,Male,Junior,00:00:00,00:26:00,10
5,Male,Junior,00:26:01,00:29:00,9
5,Male,Junior,00:29:01,00:32:00,8
5,Male,Junior,00:32:01,00:35:00,7
5,Male,Junior,00:35:01,00:38:00,6
5,Male,Junior,00:38:01,00:41:00,5
5,Male,Junior,00:41:01,00:44:00,4
5,Male,Junior,00:44:01,00:47:00,3
5,Male,Junior,00:47:01,00:50:00,2
5,Male,Junior,00:50:01,Finisher,1
5,Male,Senior,00:00:00,00:26:00,10
5,Male,Senior,00:26:01,00:29:00,9
5,Male,Senior,00:29:01,00:32:00,8
5,Male,Senior,00:32:01,00:35:00,7
5,Male,Senior,00:35:01,00:38:00,6
5,Male,Senior,00:38:01,00:41:00,5
5,Male,Senior,00:41:01,00:44:00,4
5,Male,Senior,00:44:01,00:47:00,3
5,Male,Senior,00:47:01,00:50:00,2
5,Male,Senior,00:50:01,Finisher,1
5,Male,Veteran,00:00:00,00:29:00,10
5,Male,Veteran,00:29:01,00:31:38,9
5,Male,Veteran,00:31:39,00:34:15,8
5,Male,Veteran,00:34:16,00:36:53,7
5,Male,Veteran,00:36:53,00:39:30,6
5,Male,Veteran,00:39:31,00:42:08,5
5,Male,Veteran,00:42:09,00:44:45,4
5,Male,Veteran,00:44:46,00:47:23,3
5,Male,Veteran,00:47:24,00:50:00,2
5,Male,Veteran,00:50:01,Finisher,1
5,Male,Master,00:00:00,00:32:00,10
5,Male,Master,00:32:01,00:34:15,9
5,Male,Master,00:34:16,00:36:30,8
5,Male,Master,00:36:31,00:38:45,7
5,Male,Master,00:38:46,00:41:00,6
5,Male,Master,00:41:01,00:43:15,5
5,Male,Master,00:43:16,00:45:30,4
5,Male,Master,00:45:31,00:47:45,3
5,Male,Master,00:47:46,00:50:00,2
5,Male,Master,00:50:01,Finisher,1
5,Male,Grand Master,00:00:00,00:34:30,10
5,Male,Grand Master,00:34:31,00:36:22,9
5,Male,Grand Master,00:36:23,00:38:15,8
5,Male,Grand Master,00:38:16,00:40:07,7
5,Male,Grand Master,00:40:08,00:42:00,6
5,Male,Grand Master,00:42:01,00:43:52,5
5,Male,Grand Master,00:43:53,00:45:45,4
5,Male,Grand Master,00:45:46,00:47:38,3
5,Male,Grand Master,00:47:38,00:50:00,2
5,Male,Grand Master,00:50:01,Finisher,1
5,Male,Great Grand Master,00:00:00,00:36:45,10
5,Male,Great Grand Master,00:36:46,00:38:23,9
5,Male,Great Grand Master,00:38:23,00:40:00,8
5,Male,Great Grand Master,00:40:01,00:41:37,7
5,Male,Great Grand Master,00:41:39,00:43:15,6
5,Male,Great Grand Master,00:43:16,00:44:52,5
5,Male,Great Grand Master,00:44:53,00:46:30,4
5,Male,Great Grand Master,00:46:31,00:48:08,3
5,Male,Great Grand Master,00:48:09,00:50:00,2
5,Male,Great Grand Master,00:50:01,Finisher,1
10,Male,Junior,00:00:00,00:52:00,10
10,Male,Junior,00:52:01,00:58:00,9
10,Male,Junior,00:58:01,01:04:00,8
10,Male,Junior,01:04:01,01:10:00,7
10,Male,Junior,01:10:01,01:16:00,6
10,Male,Junior,01:16:01,01:22:00,5
10,Male,Junior,01:22:01,01:28:00,4
10,Male,Junior,01:28:01,01:34:00,3
10,Male,Junior,01:34:01,01:40:00,2
10,Male,Junior,01:40:01,Finisher,1
10,Male,Senior,00:00:00,00:52:00,10
10,Male,Senior,00:52:01,00:58:00,9
10,Male,Senior,00:58:01,01:04:00,8
10,Male,Senior,01:04:01,01:10:00,7
10,Male,Senior,01:10:01,01:16:00,6
10,Male,Senior,01:16:01,01:22:00,5
10,Male,Senior,01:22:01,01:28:00,4
10,Male,Senior,01:28:01,01:34:00,3
10,Male,Senior,01:34:01,01:40:00,2
10,Male,Senior,01:40:01,Finisher,1
10,Male,Veteran,00:00:00,00:58:00,10
10,Male,Veteran,00:58:01,01:03:15,9
10,Male,Veteran,01:03:16,01:08:30,8
10,Male,Veteran,01:08:31,01:13:45,7
